Naam;;;;;;;;;;;;;
Team Portje;;;;13:16;13:37;;;;14:53;15:40;;;
Enschede > Eindhoven;;;;;;14:16;14:30;14:45;14:53;;;;
Lijn 1 met samurai saus;;;12:36;13:16;;;;;;;;;
Team de tikkende Tijgers;;12:29;12:35;;;;;;;;15:58;16:00;
Team Kerk Gang;12:15;12:29;;;13:37;14:16;;;;;;;
Platte pannenkoekje op konijn;;;;;;;;;;15:40;15:58;;
Pauze;;;;;;;14:30;14:45;;;;;
