Time,12:15:00,12:22:12,12:25:24,12:28:52,12:31:02,12:36:40,12:38:04,12:39:35,12:50:32,12:52:57,12:53:44,12:56:01,13:05:26,13:07:32,13:08:29,13:09:42,13:12:12,13:14:38,13:21:22,13:23:26,13:24:46,13:26:34,13:31:01,13:33:24,13:33:31,13:40:14,13:46:29,13:52:21,13:53:37,13:54:34,14:02:03,14:04:29,14:08:19,14:09:06,14:10:08,14:14:50,14:19:34,14:23:42,14:26:28,14:28:40,14:51:44,15:00:44,15:03:11,15:05:43,15:08:25,15:13:51,15:16:38,15:17:52,15:23:45,15:24:54,15:32:10,15:37:53,15:39:37,15:43:02,15:43:47,15:43:56,15:43:57,15:44:19,15:44:19,15:45:45,15:56:00,15:56:59,16:01:56,16:06:36,16:07:42,16:09:02,16:12:07,16:13:38,16:13:43,16:18:14,16:18:28,16:18:36,16:20:54,16:27:24,16:30:08,16:32:35
name1,0,0,0,0,4,4,4,4,4,4,4,4,4,8,8,8,8,8,4,4,4,0,0,0,0,0,0,4,4,4,4,4,4,4,7,7,7,7,7,7,7,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,2,2,5
name2,0,0,0,0,0,0,0,4,4,4,8,8,8,8,8,8,11,11,11,14,14,14,14,14,14,14,18,18,18,15,17,17,17,17,17,21,17,13,13,13,13,9,11,11,11,11,14,12,12,12,12,12,12,15,15,15,15,15,15,15,15,17,13,17,17,17,18,17,19,19,19,19,16,16,16,12
name3,0,0,0,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,10,10,10,10,12,12,12,12,10,10,10,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,7,7,7,8,8,8,8,8,10,10,10,10,11,11
name4,0,4,4,4,4,4,7,7,11,11,11,11,11,11,15,15,15,15,15,15,15,15,19,19,19,19,19,19,15,15,15,19,15,15,15,15,15,15,11,13,11,11,11,14,11,11,11,12,12,15,15,12,14,10,10,10,10,10,10,9,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9
name5,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,8,8,8,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,13,9,9,9,12,12,12,12,15,15,15,15,17,13,13,16,16,12,14,11,11,11,11,11,11,11,12,12,12,15,15,15,13,13,14,11,11,8,8,10,10,9,9
name6,0,0,4,4,4,4,4,4,4,8,8,8,12,12,12,12,8,12,15,11,11,11,11,15,19,15,15,15,18,18,15,15,18,18,18,18,18,18,21,18,19,19,19,15,17,17,17,17,13,9,12,12,12,12,11,15,11,15,11,11,11,8,8,8,9,9,7,7,7,4,4,8,8,11,11,11
null,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
on,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
